node,degree_in_backbone
9606.ENSP00000385675,174
9606.ENSP00000275493,152
9606.ENSP00000264657,150
9606.ENSP00000398698,144
9606.ENSP00000451828,134
9606.ENSP00000263341,133
9606.ENSP00000229135,127
9606.ENSP00000269305,127
9606.ENSP00000412237,124
9606.ENSP00000011653,122
9606.ENSP00000362680,115
9606.ENSP00000265171,112
9606.ENSP00000306512,110
9606.ENSP00000269571,108
9606.ENSP00000386559,106
9606.ENSP00000398632,103
9606.ENSP00000495360,102
9606.ENSP00000226730,101
9606.ENSP00000226574,100
9606.ENSP00000225831,99
