node,core_number,in_backbone
9606.ENSP00000421326,1,False
9606.ENSP00000432660,22,False
9606.ENSP00000384881,1,False
9606.ENSP00000426809,27,False
9606.ENSP00000367972,2,False
9606.ENSP00000381382,12,False
9606.ENSP00000383820,4,False
9606.ENSP00000430432,34,False
9606.ENSP00000405330,37,True
9606.ENSP00000370624,2,False
9606.ENSP00000360020,1,False
9606.ENSP00000501150,37,True
9606.ENSP00000354376,1,False
9606.ENSP00000405738,6,False
9606.ENSP00000353959,1,False
9606.ENSP00000496414,15,False
9606.ENSP00000391249,4,False
9606.ENSP00000437955,37,True
9606.ENSP00000357668,5,False
9606.ENSP00000370542,37,True
9606.ENSP00000428056,37,True
9606.ENSP00000376345,37,True
9606.ENSP00000340983,1,False
9606.ENSP00000369213,30,False
9606.ENSP00000337746,1,False
9606.ENSP00000422793,6,False
9606.ENSP00000334474,3,False
9606.ENSP00000363822,36,False
9606.ENSP00000376077,30,False
9606.ENSP00000498587,36,False
9606.ENSP00000358794,5,False
9606.ENSP00000367608,7,False
9606.ENSP00000445175,14,False
9606.ENSP00000416293,15,False
9606.ENSP00000476295,4,False
9606.ENSP00000499501,35,False
9606.ENSP00000437550,12,False
9606.ENSP00000478927,28,False
9606.ENSP00000499786,19,False
9606.ENSP00000370340,2,False
9606.ENSP00000437621,15,False
9606.ENSP00000321835,3,False
9606.ENSP00000361066,32,False
9606.ENSP00000400142,21,False
9606.ENSP00000381588,11,False
9606.ENSP00000368667,4,False
9606.ENSP00000386559,37,True
9606.ENSP00000370989,37,True
9606.ENSP00000485952,9,False
9606.ENSP00000495530,22,False
9606.ENSP00000496597,10,False
9606.ENSP00000358470,10,False
9606.ENSP00000497102,37,True
9606.ENSP00000380855,24,False
9606.ENSP00000485129,21,False
9606.ENSP00000378854,6,False
9606.ENSP00000493382,10,False
9606.ENSP00000380070,37,True
9606.ENSP00000315743,2,False
9606.ENSP00000383611,30,False
9606.ENSP00000339527,37,True
9606.ENSP00000377617,8,False
9606.ENSP00000485525,10,False
9606.ENSP00000396308,8,False
9606.ENSP00000377845,8,False
9606.ENSP00000370253,7,False
9606.ENSP00000500582,33,False
9606.ENSP00000451828,37,True
9606.ENSP00000375892,34,False
9606.ENSP00000311746,1,False
9606.ENSP00000384863,20,False
9606.ENSP00000311313,2,False
9606.ENSP00000376911,4,False
9606.ENSP00000357981,18,False
9606.ENSP00000324729,9,False
9606.ENSP00000372035,12,False
9606.ENSP00000349547,14,False
9606.ENSP00000344666,15,False
9606.ENSP00000361027,12,False
9606.ENSP00000419465,15,False
9606.ENSP00000435233,12,False
9606.ENSP00000311010,4,False
9606.ENSP00000370408,13,False
9606.ENSP00000368632,36,False
9606.ENSP00000388620,21,False
9606.ENSP00000352926,13,False
9606.ENSP00000317379,2,False
9606.ENSP00000444408,6,False
9606.ENSP00000354681,3,False
9606.ENSP00000441875,10,False
9606.ENSP00000372191,17,False
9606.ENSP00000306991,2,False
9606.ENSP00000398632,37,True
9606.ENSP00000377492,37,True
9606.ENSP00000306968,2,False
9606.ENSP00000328228,26,False
9606.ENSP00000379287,33,False
9606.ENSP00000390784,2,False
9606.ENSP00000393241,18,False
9606.ENSP00000302846,7,False
9606.ENSP00000360141,16,False
9606.ENSP00000356438,37,True
9606.ENSP00000409581,30,False
9606.ENSP00000362680,37,True
9606.ENSP00000359719,33,False
9606.ENSP00000366488,33,False
9606.ENSP00000309591,33,False
9606.ENSP00000302289,3,False
9606.ENSP00000441065,2,False
9606.ENSP00000463978,7,False
9606.ENSP00000333769,15,False
9606.ENSP00000346839,37,True
9606.ENSP00000301659,2,False
9606.ENSP00000339587,7,False
9606.ENSP00000433138,32,False
9606.ENSP00000319170,6,False
9606.ENSP00000333667,10,False
9606.ENSP00000468425,27,False
9606.ENSP00000365770,8,False
9606.ENSP00000357711,4,False
9606.ENSP00000364210,20,False
9606.ENSP00000442424,37,True
9606.ENSP00000314029,9,False
9606.ENSP00000436786,25,False
9606.ENSP00000351446,32,False
9606.ENSP00000348056,30,False
9606.ENSP00000326804,30,False
9606.ENSP00000337088,25,False
9606.ENSP00000335153,37,True
9606.ENSP00000296839,1,False
9606.ENSP00000478561,18,False
9606.ENSP00000303963,5,False
9606.ENSP00000416066,15,False
9606.ENSP00000354294,5,False
9606.ENSP00000458537,3,False
9606.ENSP00000380432,37,True
9606.ENSP00000366179,3,False
9606.ENSP00000345344,11,False
9606.ENSP00000295746,2,False
9606.ENSP00000478887,37,True
9606.ENSP00000300093,37,True
9606.ENSP00000303424,3,False
9606.ENSP00000320147,37,True
9606.ENSP00000345502,9,False
9606.ENSP00000403701,30,False
9606.ENSP00000426909,22,False
9606.ENSP00000295206,3,False
9606.ENSP00000321797,37,True
9606.ENSP00000400341,17,False
9606.ENSP00000291442,1,False
