node,core_number,in_backbone
9606.ENSP00000495360,37,True
9606.ENSP00000478887,37,True
9606.ENSP00000365380,37,True
9606.ENSP00000498321,37,True
9606.ENSP00000437955,37,True
9606.ENSP00000370542,37,True
9606.ENSP00000428056,37,True
9606.ENSP00000376345,37,True
9606.ENSP00000384849,37,True
9606.ENSP00000405330,37,True
9606.ENSP00000386559,37,True
9606.ENSP00000370989,37,True
9606.ENSP00000380070,37,True
9606.ENSP00000477713,37,True
9606.ENSP00000428924,37,True
9606.ENSP00000356438,37,True
9606.ENSP00000362680,37,True
9606.ENSP00000497102,37,True
9606.ENSP00000379350,37,True
9606.ENSP00000497733,37,True
9606.ENSP00000494750,37,True
9606.ENSP00000300093,37,True
9606.ENSP00000380432,37,True
9606.ENSP00000320147,37,True
9606.ENSP00000451828,37,True
9606.ENSP00000489597,37,True
9606.ENSP00000376637,37,True
9606.ENSP00000497069,37,True
9606.ENSP00000368880,37,True
9606.ENSP00000346839,37,True
9606.ENSP00000351209,37,True
9606.ENSP00000400175,37,True
9606.ENSP00000339191,37,True
9606.ENSP00000360609,37,True
9606.ENSP00000354558,37,True
9606.ENSP00000384273,37,True
9606.ENSP00000378699,37,True
9606.ENSP00000411532,37,True
9606.ENSP00000355759,37,True
9606.ENSP00000418915,37,True
9606.ENSP00000496577,37,True
9606.ENSP00000330341,37,True
9606.ENSP00000387699,37,True
9606.ENSP00000361021,37,True
9606.ENSP00000418960,37,True
9606.ENSP00000339527,37,True
9606.ENSP00000398632,37,True
9606.ENSP00000410294,37,True
9606.ENSP00000493712,37,True
9606.ENSP00000324806,37,True
9606.ENSP00000378974,37,True
9606.ENSP00000361423,37,True
9606.ENSP00000393312,37,True
9606.ENSP00000368632,37,True
9606.ENSP00000391090,37,True
9606.ENSP00000405726,37,True
9606.ENSP00000381185,37,True
9606.ENSP00000335153,37,True
9606.ENSP00000266970,37,True
9606.ENSP00000353770,37,True
9606.ENSP00000457421,37,True
9606.ENSP00000310036,37,True
9606.ENSP00000411355,37,True
9606.ENSP00000313419,37,True
9606.ENSP00000358525,37,True
9606.ENSP00000414303,37,True
9606.ENSP00000363089,37,True
9606.ENSP00000269571,37,True
9606.ENSP00000295897,37,True
9606.ENSP00000275493,37,True
9606.ENSP00000412237,37,True
9606.ENSP00000442424,37,True
9606.ENSP00000379111,37,True
9606.ENSP00000499900,37,True
9606.ENSP00000287598,37,True
9606.ENSP00000355922,37,True
9606.ENSP00000361540,37,True
9606.ENSP00000360540,37,True
9606.ENSP00000296509,37,True
9606.ENSP00000364898,37,True
9606.ENSP00000498227,37,True
9606.ENSP00000361405,37,True
9606.ENSP00000261937,37,True
9606.ENSP00000377492,37,True
9606.ENSP00000263923,37,True
9606.ENSP00000407586,37,True
9606.ENSP00000352252,37,True
9606.ENSP00000333277,37,True
9606.ENSP00000355657,37,True
9606.ENSP00000362649,37,True
9606.ENSP00000431418,37,True
9606.ENSP00000346300,37,True
9606.ENSP00000401303,37,True
9606.ENSP00000341208,37,True
9606.ENSP00000269305,37,True
9606.ENSP00000263341,37,True
9606.ENSP00000348645,37,True
9606.ENSP00000311032,37,True
9606.ENSP00000385675,37,True
9606.ENSP00000264498,37,True
9606.ENSP00000265171,37,True
9606.ENSP00000257290,37,True
9606.ENSP00000496959,37,True
9606.ENSP00000398698,37,True
9606.ENSP00000332973,37,True
9606.ENSP00000293328,37,True
9606.ENSP00000371790,37,True
9606.ENSP00000354394,37,True
9606.ENSP00000264657,37,True
9606.ENSP00000481380,37,True
9606.ENSP00000257904,37,True
9606.ENSP00000256442,37,True
9606.ENSP00000306884,37,True
9606.ENSP00000336868,37,True
9606.ENSP00000263253,37,True
9606.ENSP00000262367,37,True
9606.ENSP00000300305,37,True
9606.ENSP00000369581,37,True
9606.ENSP00000384675,37,True
9606.ENSP00000366563,37,True
9606.ENSP00000360266,37,True
9606.ENSP00000454623,37,True
9606.ENSP00000346671,37,True
9606.ENSP00000356946,37,True
9606.ENSP00000433642,37,True
9606.ENSP00000287820,37,True
9606.ENSP00000264832,37,True
9606.ENSP00000380948,37,True
9606.ENSP00000294728,37,True
9606.ENSP00000292301,37,True
9606.ENSP00000361359,37,True
9606.ENSP00000480132,37,True
9606.ENSP00000304895,37,True
9606.ENSP00000278616,37,True
9606.ENSP00000348838,37,True
9606.ENSP00000313950,37,True
9606.ENSP00000386884,37,True
9606.ENSP00000433623,37,True
9606.ENSP00000342235,37,True
9606.ENSP00000267101,37,True
9606.ENSP00000404131,37,True
9606.ENSP00000317272,37,True
9606.ENSP00000256078,37,True
9606.ENSP00000282397,37,True
9606.ENSP00000261799,37,True
9606.ENSP00000288135,37,True
9606.ENSP00000369375,37,True
9606.ENSP00000339824,37,True
9606.ENSP00000345571,37,True
9606.ENSP00000306245,37,True
9606.ENSP00000264246,37,True
9606.ENSP00000332049,37,True
9606.ENSP00000296545,37,True
9606.ENSP00000495951,37,True
9606.ENSP00000431885,37,True
9606.ENSP00000371067,37,True
9606.ENSP00000432511,37,True
9606.ENSP00000369554,37,True
9606.ENSP00000356713,37,True
9606.ENSP00000335357,37,True
9606.ENSP00000358548,37,True
9606.ENSP00000254810,37,True
9606.ENSP00000263967,37,True
9606.ENSP00000342307,37,True
9606.ENSP00000288207,37,True
9606.ENSP00000298048,37,True
9606.ENSP00000365230,37,True
9606.ENSP00000286301,37,True
9606.ENSP00000241453,37,True
9606.ENSP00000300134,37,True
9606.ENSP00000296871,37,True
9606.ENSP00000327513,37,True
9606.ENSP00000260010,37,True
9606.ENSP00000302961,37,True
9606.ENSP00000359663,37,True
9606.ENSP00000359424,37,True
9606.ENSP00000474412,37,True
9606.ENSP00000363318,37,True
9606.ENSP00000327890,37,True
9606.ENSP00000369293,37,True
9606.ENSP00000357470,37,True
9606.ENSP00000306157,37,True
9606.ENSP00000427279,37,True
9606.ENSP00000395704,37,True
9606.ENSP00000296870,37,True
9606.ENSP00000264033,37,True
9606.ENSP00000300574,37,True
9606.ENSP00000303830,37,True
9606.ENSP00000341189,37,True
9606.ENSP00000501150,37,True
9606.ENSP00000292408,37,True
9606.ENSP00000267843,37,True
9606.ENSP00000321797,37,True
9606.ENSP00000264664,37,True
9606.ENSP00000379140,37,True
9606.ENSP00000304915,37,True
9606.ENSP00000252804,37,True
9606.ENSP00000477908,37,True
9606.ENSP00000227507,37,True
9606.ENSP00000302530,37,True
9606.ENSP00000260731,37,True
9606.ENSP00000361298,37,True
9606.ENSP00000271452,37,True
9606.ENSP00000362146,37,True
9606.ENSP00000247191,37,True
9606.ENSP00000428489,37,True
9606.ENSP00000301633,37,True
9606.ENSP00000378356,37,True
9606.ENSP00000251496,37,True
9606.ENSP00000358813,37,True
9606.ENSP00000300403,37,True
9606.ENSP00000261597,37,True
9606.ENSP00000258149,37,True
9606.ENSP00000276927,37,True
9606.ENSP00000305651,37,True
9606.ENSP00000354901,37,True
