node,degree_in_backbone
9606.ENSP00000385675,178
9606.ENSP00000264657,156
9606.ENSP00000275493,154
9606.ENSP00000398698,146
9606.ENSP00000263341,135
9606.ENSP00000451828,134
9606.ENSP00000229135,133
9606.ENSP00000269305,129
9606.ENSP00000412237,129
9606.ENSP00000011653,127
9606.ENSP00000362680,117
9606.ENSP00000265171,115
9606.ENSP00000306512,111
9606.ENSP00000386559,110
9606.ENSP00000269571,109
9606.ENSP00000226730,107
9606.ENSP00000354394,104
9606.ENSP00000231449,103
9606.ENSP00000398632,103
9606.ENSP00000495360,102
