node,core_number,in_backbone
9606.ENSP00000495360,37,True
9606.ENSP00000501150,37,True
9606.ENSP00000437955,37,True
9606.ENSP00000497102,37,True
9606.ENSP00000358525,37,True
9606.ENSP00000489597,37,True
9606.ENSP00000386559,37,True
9606.ENSP00000370989,37,True
9606.ENSP00000346839,37,True
9606.ENSP00000398632,37,True
9606.ENSP00000356438,37,True
9606.ENSP00000362680,37,True
9606.ENSP00000494750,37,True
9606.ENSP00000335153,37,True
9606.ENSP00000478887,37,True
9606.ENSP00000405330,37,True
9606.ENSP00000451828,37,True
9606.ENSP00000495951,37,True
9606.ENSP00000351209,37,True
9606.ENSP00000400175,37,True
9606.ENSP00000376637,37,True
9606.ENSP00000380432,37,True
9606.ENSP00000497069,37,True
9606.ENSP00000354558,37,True
9606.ENSP00000380070,37,True
9606.ENSP00000477713,37,True
9606.ENSP00000360266,37,True
9606.ENSP00000385675,37,True
9606.ENSP00000498321,37,True
9606.ENSP00000482259,37,True
9606.ENSP00000410294,37,True
9606.ENSP00000379350,37,True
9606.ENSP00000306245,37,True
9606.ENSP00000361021,37,True
9606.ENSP00000269305,37,True
9606.ENSP00000407586,37,True
9606.ENSP00000381185,37,True
9606.ENSP00000313419,37,True
9606.ENSP00000269571,37,True
9606.ENSP00000295897,37,True
9606.ENSP00000275493,37,True
9606.ENSP00000412237,37,True
9606.ENSP00000499900,37,True
9606.ENSP00000457421,37,True
9606.ENSP00000364898,37,True
9606.ENSP00000261937,37,True
9606.ENSP00000263923,37,True
9606.ENSP00000259607,37,True
9606.ENSP00000310036,37,True
9606.ENSP00000498227,37,True
9606.ENSP00000431418,37,True
9606.ENSP00000411355,37,True
9606.ENSP00000339191,37,True
9606.ENSP00000361405,37,True
9606.ENSP00000376345,37,True
9606.ENSP00000401303,37,True
9606.ENSP00000341208,37,True
9606.ENSP00000428056,37,True
9606.ENSP00000428924,37,True
9606.ENSP00000363089,37,True
9606.ENSP00000480791,37,True
9606.ENSP00000293328,37,True
9606.ENSP00000264657,37,True
9606.ENSP00000369581,37,True
9606.ENSP00000346671,37,True
9606.ENSP00000366563,37,True
9606.ENSP00000454623,37,True
9606.ENSP00000356946,37,True
9606.ENSP00000433642,37,True
9606.ENSP00000264832,37,True
9606.ENSP00000380948,37,True
9606.ENSP00000294728,37,True
9606.ENSP00000496959,37,True
9606.ENSP00000292301,37,True
