node,degree_in_backbone
9606.ENSP00000385675,146
9606.ENSP00000275493,118
9606.ENSP00000398698,117
9606.ENSP00000263341,116
9606.ENSP00000264657,116
9606.ENSP00000229135,114
9606.ENSP00000011653,111
9606.ENSP00000412237,111
9606.ENSP00000306512,109
9606.ENSP00000265171,102
9606.ENSP00000386559,99
9606.ENSP00000362680,97
9606.ENSP00000225831,96
9606.ENSP00000398632,95
9606.ENSP00000226730,92
9606.ENSP00000231449,91
9606.ENSP00000269571,91
9606.ENSP00000386884,91
9606.ENSP00000451828,90
9606.ENSP00000380432,86
