node,core_number,in_backbone
9606.ENSP00000406229,1,False
9606.ENSP00000495360,37,True
9606.ENSP00000403323,1,False
9606.ENSP00000497733,36,False
9606.ENSP00000443459,3,False
9606.ENSP00000497574,15,False
9606.ENSP00000445175,13,False
9606.ENSP00000384881,1,False
9606.ENSP00000426809,26,False
9606.ENSP00000370047,1,False
9606.ENSP00000376276,18,False
9606.ENSP00000367972,2,False
9606.ENSP00000381382,12,False
9606.ENSP00000369390,2,False
9606.ENSP00000384849,34,False
9606.ENSP00000401112,5,False
9606.ENSP00000484803,11,False
9606.ENSP00000360020,1,False
9606.ENSP00000501150,37,True
9606.ENSP00000358765,1,False
9606.ENSP00000378786,19,False
9606.ENSP00000356696,1,False
9606.ENSP00000437955,37,True
9606.ENSP00000354376,1,False
9606.ENSP00000405738,5,False
9606.ENSP00000350402,1,False
9606.ENSP00000497102,37,True
9606.ENSP00000391249,4,False
9606.ENSP00000345243,3,False
9606.ENSP00000481841,26,False
9606.ENSP00000345347,30,False
9606.ENSP00000355361,23,False
9606.ENSP00000457991,5,False
9606.ENSP00000500582,33,False
9606.ENSP00000340939,5,False
9606.ENSP00000346879,10,False
9606.ENSP00000347379,23,False
9606.ENSP00000348416,23,False
9606.ENSP00000409544,7,False
9606.ENSP00000380131,5,False
9606.ENSP00000378577,7,False
9606.ENSP00000375682,2,False
9606.ENSP00000470538,2,False
9606.ENSP00000433138,32,False
9606.ENSP00000358794,5,False
9606.ENSP00000367608,7,False
9606.ENSP00000416293,15,False
9606.ENSP00000338796,5,False
9606.ENSP00000349085,5,False
9606.ENSP00000371638,30,False
9606.ENSP00000353379,5,False
9606.ENSP00000473093,7,False
9606.ENSP00000327459,2,False
9606.ENSP00000384359,2,False
9606.ENSP00000364212,5,False
9606.ENSP00000326159,2,False
9606.ENSP00000358525,37,True
9606.ENSP00000355627,28,False
9606.ENSP00000437550,10,False
9606.ENSP00000478927,28,False
9606.ENSP00000499786,18,False
9606.ENSP00000413861,5,False
9606.ENSP00000484824,27,False
9606.ENSP00000470555,1,False
9606.ENSP00000480132,36,False
9606.ENSP00000489597,37,True
9606.ENSP00000375678,2,False
9606.ENSP00000323328,2,False
9606.ENSP00000365817,19,False
9606.ENSP00000370593,2,False
9606.ENSP00000374135,3,False
9606.ENSP00000321835,3,False
9606.ENSP00000361066,32,False
9606.ENSP00000400142,17,False
9606.ENSP00000381588,10,False
9606.ENSP00000368667,4,False
9606.ENSP00000386559,37,True
9606.ENSP00000370989,37,True
9606.ENSP00000319730,1,False
9606.ENSP00000483552,12,False
9606.ENSP00000358470,10,False
9606.ENSP00000380855,24,False
9606.ENSP00000485129,21,False
9606.ENSP00000315743,3,False
9606.ENSP00000344635,7,False
9606.ENSP00000383611,31,False
9606.ENSP00000339527,34,False
9606.ENSP00000371253,4,False
9606.ENSP00000396308,5,False
9606.ENSP00000466259,12,False
9606.ENSP00000314500,3,False
9606.ENSP00000485028,7,False
9606.ENSP00000485659,8,False
9606.ENSP00000494061,8,False
9606.ENSP00000312021,2,False
9606.ENSP00000351602,22,False
9606.ENSP00000428540,2,False
9606.ENSP00000353910,2,False
9606.ENSP00000311746,2,False
9606.ENSP00000473047,2,False
9606.ENSP00000384863,18,False
9606.ENSP00000324729,8,False
9606.ENSP00000372035,10,False
9606.ENSP00000349547,14,False
9606.ENSP00000344666,15,False
9606.ENSP00000361027,10,False
9606.ENSP00000435233,10,False
9606.ENSP00000317379,3,False
9606.ENSP00000444408,6,False
9606.ENSP00000309595,3,False
9606.ENSP00000420588,13,False
9606.ENSP00000351185,32,False
9606.ENSP00000379038,5,False
9606.ENSP00000308117,1,False
9606.ENSP00000346839,37,True
9606.ENSP00000307411,4,False
9606.ENSP00000381657,21,False
9606.ENSP00000436786,23,False
9606.ENSP00000343619,4,False
9606.ENSP00000306991,2,False
9606.ENSP00000398632,37,True
9606.ENSP00000377492,34,False
9606.ENSP00000305976,4,False
9606.ENSP00000309591,33,False
9606.ENSP00000359719,33,False
9606.ENSP00000366488,33,False
9606.ENSP00000387699,34,False
9606.ENSP00000305302,1,False
9606.ENSP00000370254,7,False
9606.ENSP00000378488,10,False
9606.ENSP00000498939,10,False
9606.ENSP00000497274,5,False
9606.ENSP00000498246,10,False
9606.ENSP00000302846,7,False
9606.ENSP00000360141,15,False
9606.ENSP00000356438,37,True
9606.ENSP00000409581,32,False
9606.ENSP00000362680,37,True
9606.ENSP00000354612,5,False
9606.ENSP00000302716,7,False
9606.ENSP00000381008,8,False
9606.ENSP00000406861,8,False
9606.ENSP00000417498,8,False
9606.ENSP00000302621,2,False
9606.ENSP00000362299,27,False
9606.ENSP00000307786,32,False
9606.ENSP00000313581,2,False
9606.ENSP00000314151,11,False
9606.ENSP00000363822,34,False
9606.ENSP00000301420,1,False
9606.ENSP00000380308,6,False
9606.ENSP00000494750,37,True
9606.ENSP00000413720,25,False
9606.ENSP00000319170,4,False
9606.ENSP00000468425,27,False
9606.ENSP00000299335,1,False
