node,louvain,greedy,leiden,infomap,DCSBM
9606.ENSP00000439170,0,8,8,0,355
9606.ENSP00000495202,0,8,8,0,355
9606.ENSP00000421326,1,2,0,1,1510
9606.ENSP00000432660,1,2,0,1,1510
9606.ENSP00000384881,2,1,0,2,1264
9606.ENSP00000426809,2,1,0,2,1264
9606.ENSP00000367972,3,0,1,3,1271
9606.ENSP00000381382,3,0,1,3,1064
9606.ENSP00000383820,3,0,1,3,323
9606.ENSP00000430432,3,0,1,3,323
9606.ENSP00000405330,3,0,1,3,69
9606.ENSP00000370624,3,0,1,3,323
9606.ENSP00000360020,2,2,0,2,1230
9606.ENSP00000501150,2,2,0,2,1230
9606.ENSP00000354376,2,2,0,1,1264
9606.ENSP00000405738,2,2,0,1,1264
9606.ENSP00000353959,1,1,0,1,1510
9606.ENSP00000496414,1,1,0,1,1510
9606.ENSP00000391249,1,0,1,4,1435
9606.ENSP00000437955,3,0,1,3,438
9606.ENSP00000357668,2,2,0,2,1510
9606.ENSP00000370542,2,1,0,2,643
9606.ENSP00000428056,2,2,0,2,1230
9606.ENSP00000376345,2,2,0,2,1230
9606.ENSP00000340983,4,1,2,5,1492
9606.ENSP00000369213,4,1,2,5,1568
9606.ENSP00000337746,2,2,0,2,1510
9606.ENSP00000422793,2,2,0,2,1230
9606.ENSP00000334474,3,0,1,6,1271
9606.ENSP00000363822,3,1,1,3,760
9606.ENSP00000376077,3,0,1,3,760
9606.ENSP00000498587,5,0,1,6,1271
9606.ENSP00000358794,9,2,5,7,66
9606.ENSP00000367608,9,0,5,8,66
9606.ENSP00000445175,9,2,5,7,66
9606.ENSP00000416293,9,2,5,7,66
9606.ENSP00000476295,3,0,1,3,323
9606.ENSP00000499501,3,0,1,3,38
9606.ENSP00000437550,3,0,1,4,40
9606.ENSP00000478927,3,0,1,4,40
9606.ENSP00000499786,1,0,1,4,40
9606.ENSP00000370340,3,0,1,3,956
9606.ENSP00000437621,3,0,1,3,956
9606.ENSP00000321835,7,0,6,9,103
9606.ENSP00000361066,3,0,1,3,69
9606.ENSP00000400142,7,0,6,10,956
9606.ENSP00000381588,2,1,0,9,103
9606.ENSP00000368667,4,1,2,11,355
9606.ENSP00000386559,4,1,2,5,843
9606.ENSP00000370989,4,1,2,5,843
9606.ENSP00000485952,9,2,5,7,66
9606.ENSP00000495530,9,1,5,7,66
9606.ENSP00000496597,9,2,5,7,66
9606.ENSP00000358470,4,1,2,5,1741
9606.ENSP00000497102,4,1,2,5,1741
9606.ENSP00000380855,4,1,2,5,1741
9606.ENSP00000485129,4,1,2,5,1741
9606.ENSP00000378854,9,3,5,7,66
9606.ENSP00000493382,9,3,5,7,66
9606.ENSP00000380070,9,1,5,12,374
9606.ENSP00000315743,8,0,3,13,1435
9606.ENSP00000383611,8,0,4,13,1435
9606.ENSP00000339527,1,0,3,3,69
9606.ENSP00000377617,9,3,5,7,66
9606.ENSP00000485525,9,2,5,7,66
9606.ENSP00000396308,9,3,5,7,66
9606.ENSP00000377845,9,3,5,7,66
9606.ENSP00000370253,1,2,3,14,232
9606.ENSP00000500582,1,2,3,14,1453
9606.ENSP00000451828,1,1,3,14,1270
9606.ENSP00000375892,1,2,3,14,1453
9606.ENSP00000311746,7,0,6,10,956
9606.ENSP00000384863,7,0,6,10,956
9606.ENSP00000311313,2,1,0,9,103
9606.ENSP00000376911,2,1,0,9,103
9606.ENSP00000357981,2,1,0,9,103
9606.ENSP00000324729,3,0,1,4,40
9606.ENSP00000372035,3,0,1,4,40
9606.ENSP00000349547,8,0,1,4,40
9606.ENSP00000344666,3,0,0,4,40
9606.ENSP00000361027,3,0,1,4,40
9606.ENSP00000419465,3,0,1,4,40
9606.ENSP00000435233,3,0,1,4,40
9606.ENSP00000311010,3,0,1,3,232
9606.ENSP00000370408,3,0,1,15,232
9606.ENSP00000368632,3,0,1,3,967
9606.ENSP00000388620,3,0,1,3,232
9606.ENSP00000352926,3,0,1,3,1064
9606.ENSP00000317379,9,3,5,16,66
9606.ENSP00000444408,9,3,5,16,66
9606.ENSP00000354681,3,0,3,12,210
9606.ENSP00000441875,3,0,3,12,210
9606.ENSP00000372191,3,0,1,3,760
9606.ENSP00000306991,8,0,4,13,571
9606.ENSP00000398632,2,1,0,5,643
9606.ENSP00000377492,8,0,4,13,571
9606.ENSP00000306968,8,2,3,14,571
9606.ENSP00000328228,8,0,4,13,571
9606.ENSP00000379287,1,2,3,14,53
9606.ENSP00000390784,7,2,6,17,103
9606.ENSP00000393241,7,0,6,17,954
9606.ENSP00000302846,1,2,3,14,202
9606.ENSP00000360141,1,2,0,14,202
9606.ENSP00000356438,4,1,2,5,1270
9606.ENSP00000409581,1,1,3,14,1453
9606.ENSP00000362680,1,1,0,1,531
9606.ENSP00000359719,1,2,3,14,202
9606.ENSP00000366488,1,2,3,14,202
9606.ENSP00000309591,1,2,3,14,202
9606.ENSP00000302289,2,1,0,7,66
9606.ENSP00000441065,2,1,0,7,66
9606.ENSP00000463978,2,2,5,7,66
9606.ENSP00000333769,2,1,0,7,66
9606.ENSP00000346839,2,1,0,18,643
9606.ENSP00000301659,1,1,3,12,1492
