algorithm_1,algorithm_2,jaccard,nmi,nvi
louvain,greedy,0.2761850428955198,0.4384920458624518,0.2507313366444426
louvain,leiden,0.5948614127906418,0.7619188863665854,0.12380499164530857
louvain,infomap,0.42603613556181175,0.6673457406043852,0.21596690595520798
louvain,DCSBM,0.11486041803777168,0.5436573213772015,0.36173639575675065
greedy,leiden,0.3086908792485407,0.4695760680775501,0.23181496998983778
greedy,infomap,0.2180833780117301,0.45048444243804403,0.3111624583372372
greedy,DCSBM,0.05429209746973555,0.362319173564191,0.4525692400774444
leiden,infomap,0.3951819469685045,0.6749335493107642,0.20795423159870874
leiden,DCSBM,0.10554812337421034,0.5447260330949175,0.3565664364029159
infomap,DCSBM,0.18397610795664038,0.6908007929021471,0.282114109475966
