algorithm_1,algorithm_2,jaccard,nmi,nvi
louvain,greedy,0.3268212153693286,0.48558028465763775,0.23363234920108564
louvain,leiden,0.533375121568222,0.7076872747002256,0.15625017044809497
louvain,infomap,0.3923076026164723,0.6627925791570992,0.22036577190304857
louvain,DCSBM,0.0966029856457738,0.5355935633194341,0.3777519169329724
greedy,leiden,0.34296214987161144,0.5187943765638242,0.2176474580562413
greedy,infomap,0.22311247013691324,0.4693194350779409,0.3031605352496389
greedy,DCSBM,0.05048092898378,0.3734149495623648,0.45814227467935004
leiden,infomap,0.4433939508970055,0.7050761031112146,0.19218170733609385
leiden,DCSBM,0.09550602761034416,0.541161028587017,0.3723649818730845
infomap,DCSBM,0.15451814224599733,0.6665094699077045,0.3103158330633983
