step,strategy,frac_S,frac_I,frac_R
0,random,0.9842784952274004,0.015721504772599662,0.0
1,random,0.9559797866367209,0.03913531723750702,0.004884896125772038
2,random,0.8524985962942168,0.12981471083660864,0.01768669286917462
3,random,0.6289163391353172,0.31532846715328466,0.05575519371139809
4,random,0.4136440202133633,0.43604716451431785,0.15030881527231893
5,random,0.2956765861875351,0.42706344750140374,0.2772599663110612
6,random,0.2361033127456485,0.3578326782706345,0.406064008983717
7,random,0.20241437394722067,0.28686131386861313,0.5107243121841661
8,random,0.180235822571589,0.22419988770353733,0.5955642897248736
9,random,0.16546883773161145,0.17108366086468277,0.6634475014037058
10,random,0.15609208309938236,0.12908478382930938,0.7148231330713083
11,random,0.1507018528916339,0.0952274003368894,0.7540707467714767
12,random,0.14649073554183042,0.07046603032004492,0.7830432341381246
13,random,0.1432902863559798,0.05446378439079169,0.8022459292532286
14,random,0.14149354295339697,0.039921392476137005,0.818585064570466
15,random,0.14042672655811342,0.02953396967995508,0.8300393037619316
16,random,0.13964065131948344,0.020325659741718134,0.8400336889387985
17,random,0.13930376193149915,0.01493542953396968,0.8457608085345312
18,random,0.13902302077484557,0.011061201572150476,0.8499157776530039
19,random,0.13840539023020776,0.007916900617630545,0.8536777091521618
20,random,0.13840539023020776,0.005558674901740596,0.8560359348680517
21,random,0.13823694553621563,0.0034250421111734985,0.8583380123526109
22,random,0.13823694553621563,0.002021336327905671,0.8597417181358787
23,random,0.13849897061575894,0.001559673092519808,0.8599413562917212
24,random,0.13748295500120317,0.0013635999037458892,0.861153445095051
25,random,0.13748295500120317,0.0011229646266142615,0.8613940803721826
26,random,0.13748295500120317,0.0006416940723510067,0.8618753509264457
27,random,0.13335204941044357,0.0008422234699606962,0.8658057271195958
28,random,0.13335204941044357,0.0007018528916339136,0.8659460976979225
29,random,0.13587871982032565,0.0007486430844095078,0.8633726370952649
30,random,0.13587871982032565,0.0005614823133071309,0.8635597978663672
31,random,0.13503649635036497,0.0008422234699606962,0.8641212801796744
32,random,0.13503649635036497,0.0005614823133071309,0.8644020213363279
33,random,0.13503649635036497,0.00028074115665356543,0.8646827624929815
34,random,0.13980909601347558,0.0005614823133071309,0.8596294216732173
35,random,0.13980909601347558,0.0005614823133071309,0.8596294216732173
36,random,0.13980909601347558,0.0,0.8601909039865244
0,hub,0.9842784952274003,0.015721504772599662,0.0
1,hub,0.845592363840539,0.14823133071308253,0.006176305446378439
2,hub,0.5968556990454801,0.3486805165637282,0.05446378439079169
3,hub,0.40875912408759124,0.43234138124649074,0.15889949466591802
4,hub,0.30656934306569344,0.4115665356541269,0.2818641212801797
5,hub,0.2543514879281303,0.3323975294778215,0.4132509825940483
6,hub,0.21224031443009544,0.2773722627737226,0.5103874227961819
7,hub,0.19708029197080293,0.21055586749017405,0.592363840539023
8,hub,0.18248175182481752,0.154407636159461,0.6631106120157215
9,hub,0.1678832116788321,0.12240314430095452,0.7097136440202133
10,hub,0.16507580011229647,0.09264458169567659,0.7422796181920269
11,hub,0.16114542391914655,0.07130825379000562,0.7675463222908478
12,hub,0.15777653003930375,0.05053340819764177,0.7916900617630545
13,hub,0.1566535654126895,0.03425042111173498,0.8090960134755755
14,hub,0.15496911847276812,0.026389668725435148,0.8186412128017967
15,hub,0.15328467153284672,0.019651880965749578,0.8270634475014037
16,hub,0.1527231892195396,0.012352610892756879,0.8349241998877035
17,hub,0.1527231892195396,0.005614823133071308,0.8416619876473891
18,hub,0.1527231892195396,0.0039303761931499155,0.8433464345873105
19,hub,0.1527231892195396,0.003368893879842785,0.8439079169006176
20,hub,0.1527231892195396,0.003368893879842785,0.8439079169006176
21,hub,0.15160022459292533,0.002807411566535654,0.845592363840539
22,hub,0.15160022459292533,0.002807411566535654,0.845592363840539
23,hub,0.15160022459292533,0.0011229646266142617,0.8472768107804605
24,hub,0.1510387422796182,0.0016844469399213925,0.8472768107804605
25,hub,0.1510387422796182,0.0011229646266142617,0.8478382930937676
26,hub,0.1510387422796182,0.0005614823133071309,0.8483997754070747
27,hub,0.1510387422796182,0.0,0.8489612577203818
0,disease_gene,0.987085906793936,0.01291409320606401,0.0
1,disease_gene,0.9028635597978664,0.09264458169567659,0.004491858506457047
2,disease_gene,0.6861313868613139,0.2852330151600225,0.028635597978663673
3,disease_gene,0.4587310499719259,0.4267265581134194,0.11454239191465469
4,disease_gene,0.3312745648512072,0.4227961819202695,0.2459292532285233
5,disease_gene,0.27063447501403703,0.35036496350364965,0.3790005614823133
6,disease_gene,0.22122403144300953,0.29590117911285796,0.48287478944413254
7,disease_gene,0.19595732734418866,0.23245367770915215,0.5715889949466592
8,disease_gene,0.18304323413812465,0.1656372824256036,0.6513194834362718
9,disease_gene,0.16844469399213924,0.12408759124087591,0.7074677147669849
10,disease_gene,0.1622683885457608,0.10106681639528355,0.7366647950589557
11,disease_gene,0.1566535654126895,0.08029197080291971,0.7630544637843908
12,disease_gene,0.1527231892195396,0.052779337450870295,0.7944974733295901
13,disease_gene,0.15047725996631106,0.03874227961819203,0.8107804604154969
14,disease_gene,0.14710836608646827,0.028635597978663673,0.8242560359348681
15,disease_gene,0.14542391914654687,0.02133632790567097,0.8332397529477822
16,disease_gene,0.14486243683323977,0.01291409320606401,0.8422234699606962
17,disease_gene,0.14430095451993263,0.011229646266142616,0.8444693992139247
18,disease_gene,0.14430095451993263,0.008422234699606962,0.8472768107804605
19,disease_gene,0.14430095451993263,0.00673778775968557,0.8489612577203818
20,disease_gene,0.14430095451993263,0.0050533408197641775,0.8506457046603032
21,disease_gene,0.14430095451993263,0.003368893879842785,0.8523301516002246
22,disease_gene,0.14430095451993263,0.0011229646266142617,0.8545760808534532
23,disease_gene,0.14430095451993263,0.0011229646266142617,0.8545760808534532
24,disease_gene,0.14430095451993263,0.0,0.8556990454800674
