step,strategy,frac_S,frac_I,frac_R
0,random,0.9839667458432304,0.016033254156769598,0.0
1,random,0.9565320665083135,0.03836104513064133,0.00510688836104513
2,random,0.8544536817102137,0.12939429928741092,0.016152019002375295
3,random,0.6407957244655582,0.30249406175771976,0.0567102137767221
4,random,0.42885985748218525,0.42339667458432306,0.1477434679334917
5,random,0.31051068883610455,0.4160926365795724,0.27339667458432304
6,random,0.24881235154394296,0.3521377672209026,0.3990498812351544
7,random,0.21080760095011875,0.2858076009501188,0.5033847980997624
8,random,0.18752969121140142,0.22695961995249406,0.5855106888361046
9,random,0.1729809976247031,0.17351543942992875,0.6535035629453682
10,random,0.1630641330166271,0.13254156769596198,0.7043942992874109
11,random,0.15653206650831353,0.09875296912114015,0.7447149643705464
12,random,0.15290973871733965,0.07292161520190024,0.7741686460807602
13,random,0.1503562945368171,0.050950118764845606,0.7986935866983373
14,random,0.1480997624703088,0.038776722090261284,0.8131235154394298
15,random,0.14673396674584321,0.028859857482185274,0.8244061757719715
16,random,0.14501187648456057,0.02173396674584323,0.8332541567695962
17,random,0.14406175771971497,0.016330166270783847,0.8396080760095013
18,random,0.1435273159144893,0.012054631828978622,0.844418052256532
19,random,0.1431710213776722,0.009026128266033254,0.8478028503562947
20,random,0.14275534441805227,0.00665083135391924,0.8505938242280285
21,random,0.142458432304038,0.005403800475059383,0.8521377672209025
22,random,0.14228028503562945,0.003681710213776722,0.8540380047505938
23,random,0.14204275534441807,0.0025534441805225654,0.8554038004750595
24,random,0.14192399049881235,0.0017814726840855108,0.8562945368171022
25,random,0.14192399049881235,0.0012470308788598574,0.8568289786223279
26,random,0.14251781472684086,0.001253628925837952,0.8562285563473212
27,random,0.14251781472684086,0.0004618632884666139,0.8570203219846926
28,random,0.1440023752969121,0.0005938242280285036,0.8554038004750594
29,random,0.14311163895486936,0.0005938242280285036,0.8562945368171022
30,random,0.1444477434679335,0.0005938242280285036,0.854958432304038
31,random,0.14429928741092635,0.0004453681710213777,0.8552553444180523
32,random,0.1490498812351544,0.0008907363420427554,0.8500593824228029
33,random,0.1490498812351544,0.0008907363420427554,0.8500593824228029
34,random,0.1490498812351544,0.0008907363420427554,0.8500593824228029
35,random,0.1490498812351544,0.0008907363420427554,0.8500593824228029
36,random,0.1490498812351544,0.0008907363420427554,0.8500593824228029
37,random,0.1490498812351544,0.0005938242280285036,0.850356294536817
38,random,0.1490498812351544,0.0005938242280285036,0.850356294536817
39,random,0.1490498812351544,0.0005938242280285036,0.850356294536817
40,random,0.1490498812351544,0.0002969121140142518,0.8506532066508313
41,random,0.13836104513064132,0.0005938242280285036,0.8610451306413301
42,random,0.13836104513064132,0.0,0.8616389548693587
0,hub,0.9839667458432304,0.016033254156769598,0.0
1,hub,0.8467933491686461,0.1490498812351544,0.004156769596199525
2,hub,0.5938242280285035,0.3580760095011877,0.04809976247030879
3,hub,0.3978622327790974,0.44002375296912116,0.16211401425178149
4,hub,0.2975059382422803,0.41033254156769594,0.2921615201900237
5,hub,0.24346793349168647,0.3527315914489311,0.40380047505938244
