step,strategy,frac_S,frac_I,frac_R
0,random,0.9832175925925926,0.01678240740740741,0.0
1,random,0.9573495370370371,0.04114583333333334,0.0015046296296296296
2,random,0.8552083333333333,0.13935185185185187,0.005439814814814815
3,random,0.6232060185185185,0.35815972222222225,0.01863425925925926
4,random,0.403125,0.541261574074074,0.05561342592592593
5,random,0.2788773148148148,0.6130208333333333,0.10810185185185184
6,random,0.20804398148148148,0.6231481481481481,0.16880787037037037
7,random,0.16574074074074074,0.602199074074074,0.2320601851851852
8,random,0.1388310185185185,0.5704282407407407,0.29074074074074074
9,random,0.1208912037037037,0.5287037037037037,0.3504050925925926
10,random,0.10688657407407406,0.491087962962963,0.402025462962963
11,random,0.0982638888888889,0.45109953703703703,0.45063657407407404
12,random,0.09184027777777778,0.413599537037037,0.4945601851851852
13,random,0.08599537037037037,0.37743055555555555,0.5365740740740741
14,random,0.08090277777777778,0.3447916666666667,0.5743055555555555
15,random,0.07696759259259259,0.31504629629629627,0.6079861111111111
16,random,0.07378472222222222,0.2857638888888889,0.640451388888889
17,random,0.07112268518518519,0.26041666666666663,0.6684606481481481
18,random,0.06834490740740741,0.23726851851851852,0.694386574074074
19,random,0.06643518518518518,0.2165509259259259,0.717013888888889
20,random,0.06527777777777778,0.19392361111111112,0.7407986111111111
21,random,0.0642939814814815,0.1763310185185185,0.759375
22,random,0.06388888888888888,0.15862268518518519,0.7774884259259259
23,random,0.06307870370370369,0.14444444444444443,0.7924768518518518
24,random,0.062210648148148154,0.1296875,0.8081018518518519
25,random,0.06157407407407407,0.11678240740740739,0.8216435185185185
26,random,0.0609375,0.10457175925925925,0.8344907407407407
27,random,0.060474537037037035,0.09386574074074075,0.8456597222222222
28,random,0.06006944444444444,0.08472222222222223,0.8552083333333333
29,random,0.05978009259259259,0.07528935185185186,0.8649305555555555
30,random,0.05949074074074075,0.06765046296296297,0.8728587962962964
31,random,0.059259259259259255,0.06116898148148148,0.8795717592592591
32,random,0.05896990740740741,0.05520833333333334,0.8858217592592593
33,random,0.05873842592592593,0.05,0.891261574074074
34,random,0.05862268518518519,0.04508101851851852,0.8962962962962961
35,random,0.05844907407407407,0.04085648148148148,0.9006944444444445
36,random,0.058275462962962966,0.03674768518518519,0.904976851851852
37,random,0.058275462962962966,0.03356481481481481,0.9081597222222222
38,random,0.05810185185185185,0.030266203703703705,0.9116319444444445
39,random,0.057928240740740745,0.027141203703703702,0.9149305555555556
40,random,0.0578125,0.024710648148148148,0.9174768518518519
41,random,0.0578125,0.022511574074074076,0.919675925925926
42,random,0.05775462962962963,0.020833333333333336,0.921412037037037
43,random,0.05775462962962963,0.01898148148148148,0.9232638888888889
44,random,0.057581018518518524,0.01712962962962963,0.9252893518518519
45,random,0.05746527777777778,0.01556712962962963,0.9269675925925925
46,random,0.05746527777777778,0.01394675925925926,0.928587962962963
47,random,0.05746527777777778,0.012673611111111111,0.929861111111111
48,random,0.05746527777777778,0.011631944444444445,0.9309027777777779
49,random,0.05746527777777778,0.010763888888888889,0.9317708333333334
50,random,0.05746527777777778,0.009837962962962962,0.9326967592592593
51,random,0.05740740740740741,0.008912037037037036,0.9336805555555555
52,random,0.05740740740740741,0.008275462962962962,0.9343171296296295
53,random,0.05740740740740741,0.007407407407407407,0.9351851851851851
54,random,0.05740740740740741,0.006307870370370371,0.9362847222222221
55,random,0.05740740740740741,0.005324074074074074,0.9372685185185186
56,random,0.05740740740740741,0.004629629629629629,0.937962962962963
57,random,0.05734953703703703,0.004340277777777778,0.9383101851851852
58,random,0.05734953703703703,0.003645833333333333,0.9390046296296296
59,random,0.05734953703703703,0.0030671296296296293,0.9395833333333334
60,random,0.05734953703703703,0.0028935185185185184,0.9397569444444445
61,random,0.05734953703703703,0.0027777777777777775,0.9398726851851851
62,random,0.05734953703703703,0.002488425925925926,0.940162037037037
63,random,0.05734953703703703,0.0023148148148148147,0.9403356481481481
64,random,0.05734953703703703,0.0020833333333333333,0.9405671296296296
65,random,0.05734953703703703,0.0017939814814814815,0.9408564814814815
66,random,0.0569701646090535,0.0018647119341563784,0.94116512345679
67,random,0.0569701646090535,0.0018647119341563784,0.94116512345679
68,random,0.0569701646090535,0.001736111111111111,0.9412937242798355
69,random,0.0569701646090535,0.0015432098765432098,0.9414866255144033
70,random,0.0569701646090535,0.0013503086419753086,0.9416795267489712
71,random,0.05787037037037037,0.0014467592592592592,0.9406828703703703
72,random,0.05787037037037037,0.0013744212962962963,0.9407552083333334
73,random,0.05787037037037037,0.0011574074074074073,0.9409722222222222
74,random,0.05696097883597884,0.0012400793650793652,0.9417989417989417
75,random,0.05696097883597884,0.0010747354497354497,0.9419642857142857
76,random,0.05543981481481482,0.0013888888888888887,0.9431712962962961
77,random,0.05543981481481482,0.0013888888888888887,0.9431712962962961
78,random,0.05543981481481482,0.0009259259259259259,0.9436342592592591
79,random,0.05543981481481482,0.0005787037037037037,0.9439814814814815
80,random,0.05543981481481482,0.0004629629629629629,0.9440972222222221
81,random,0.05483217592592592,0.00043402777777777775,0.9447337962962963
82,random,0.05690586419753086,0.0005787037037037037,0.9425154320987654
83,random,0.05690586419753086,0.0005787037037037037,0.9425154320987654
84,random,0.05690586419753086,0.00019290123456790122,0.9429012345679012
85,random,0.05381944444444445,0.0005787037037037037,0.9456018518518519
86,random,0.05381944444444445,0.0005787037037037037,0.9456018518518519
87,random,0.05381944444444445,0.0005787037037037037,0.9456018518518519
88,random,0.05381944444444445,0.0005787037037037037,0.9456018518518519
89,random,0.05381944444444445,0.0005787037037037037,0.9456018518518519
90,random,0.05381944444444445,0.0005787037037037037,0.9456018518518519
91,random,0.05381944444444445,0.0005787037037037037,0.9456018518518519
92,random,0.05381944444444445,0.0,0.9461805555555556
0,hub,0.9832175925925926,0.01678240740740741,0.0
1,hub,0.8489583333333334,0.14930555555555555,0.001736111111111111
2,hub,0.5798611111111112,0.4068287037037037,0.013310185185185185
3,hub,0.3784722222222222,0.5659722222222222,0.05555555555555555
