node,louvain,greedy,leiden,infomap,dcsbm
9606.ENSP00000421326,0,2,0,2,152
9606.ENSP00000432660,0,2,0,2,152
9606.ENSP00000406229,1,0,2,3,1141
9606.ENSP00000495360,1,0,2,3,419
9606.ENSP00000383986,1,0,2,3,1141
9606.ENSP00000478887,1,0,2,3,692
9606.ENSP00000373472,0,1,0,20,1141
9606.ENSP00000483552,0,1,0,20,1118
9606.ENSP00000370593,2,2,7,17,1141
9606.ENSP00000374135,2,2,7,17,1141
9606.ENSP00000417404,3,1,1,12,53
9606.ENSP00000497910,3,1,1,12,53
9606.ENSP00000365473,2,2,7,17,1141
9606.ENSP00000417498,2,2,7,17,1141
9606.ENSP00000436812,2,2,7,17,1141
9606.ENSP00000381008,2,2,7,17,1141
9606.ENSP00000484824,2,2,7,17,1141
9606.ENSP00000485659,2,2,7,17,1141
9606.ENSP00000365024,4,6,9,33,1141
9606.ENSP00000365042,4,0,2,16,495
9606.ENSP00000372724,4,6,9,33,1141
9606.ENSP00000364978,4,6,9,33,1141
9606.ENSP00000364985,4,6,9,33,1141
9606.ENSP00000364949,1,0,2,4,1141
9606.ENSP00000406162,1,0,2,4,1038
9606.ENSP00000364543,5,3,6,18,815
9606.ENSP00000426909,5,3,6,18,815
9606.ENSP00000364578,1,0,4,6,630
9606.ENSP00000364482,5,3,0,18,574
9606.ENSP00000407685,0,1,0,2,574
9606.ENSP00000396688,3,1,0,8,1118
9606.ENSP00000362151,3,1,1,4,1141
9606.ENSP00000484803,1,0,2,4,769
9606.ENSP00000365380,3,1,1,1,561
9606.ENSP00000497585,3,1,1,4,1141
9606.ENSP00000360764,4,0,2,19,737
9606.ENSP00000364163,4,0,2,19,737
9606.ENSP00000443459,2,3,5,15,1534
9606.ENSP00000497574,2,3,5,10,854
9606.ENSP00000445175,2,3,5,15,1534
9606.ENSP00000357305,7,0,3,3,869
9606.ENSP00000419060,7,0,3,3,869
9606.ENSP00000356857,1,0,7,17,1141
9606.ENSP00000368370,1,0,7,17,1141
9606.ENSP00000378760,2,3,5,11,854
9606.ENSP00000478255,2,3,5,11,453
9606.ENSP00000498321,3,1,1,1,985
9606.ENSP00000382342,2,3,5,11,854
9606.ENSP00000379826,7,1,3,9,985
9606.ENSP00000483825,7,1,3,9,1328
9606.ENSP00000497271,3,1,1,1,985
9606.ENSP00000358765,3,1,1,12,53
9606.ENSP00000378786,3,1,1,12,53
9606.ENSP00000391249,0,0,2,13,263
9606.ENSP00000437955,1,0,2,3,1400
9606.ENSP00000357668,0,2,0,2,152
9606.ENSP00000370542,0,1,0,2,1123
9606.ENSP00000428056,0,2,0,2,1020
9606.ENSP00000376345,0,2,0,2,1020
9606.ENSP00000437550,0,0,2,27,495
9606.ENSP00000478927,1,0,2,3,419
9606.ENSP00000499786,4,0,2,3,495
9606.ENSP00000369134,2,3,5,15,1534
9606.ENSP00000376352,2,3,5,15,1534
9606.ENSP00000340939,0,2,0,2,592
9606.ENSP00000346879,2,2,7,17,1141
9606.ENSP00000347379,0,2,0,2,592
9606.ENSP00000348416,0,2,0,2,592
9606.ENSP00000409544,0,2,0,2,592
9606.ENSP00000354608,2,3,5,32,1141
9606.ENSP00000378888,2,3,5,32,1141
9606.ENSP00000364298,7,0,3,3,550
9606.ENSP00000384849,8,0,4,3,550
9606.ENSP00000405330,1,0,2,3,222
9606.ENSP00000358794,2,3,5,15,1534
9606.ENSP00000367608,1,0,5,22,1534
9606.ENSP00000416293,2,3,5,15,1534
9606.ENSP00000353379,6,4,8,23,1141
9606.ENSP00000379873,3,1,1,12,53
9606.ENSP00000445675,6,4,8,23,1141
9606.ENSP00000345728,5,3,6,18,815
9606.ENSP00000416255,5,3,6,18,815
9606.ENSP00000384092,7,2,3,14,83
9606.ENSP00000363329,5,3,6,18,815
9606.ENSP00000425561,5,0,6,18,815
9606.ENSP00000327459,8,3,4,21,839
9606.ENSP00000384359,8,3,4,21,839
9606.ENSP00000364212,8,3,4,21,839
9606.ENSP00000370340,1,0,2,7,1587
9606.ENSP00000437621,1,0,2,7,1587
9606.ENSP00000321835,5,0,6,20,1141
9606.ENSP00000361066,1,0,2,4,222
9606.ENSP00000400142,5,0,6,7,812
9606.ENSP00000381588,7,1,0,20,1118
9606.ENSP00000368667,6,1,8,23,1141
9606.ENSP00000386559,3,1,1,1,561
9606.ENSP00000370989,3,1,1,1,561
9606.ENSP00000359991,2,3,5,15,1534
9606.ENSP00000362413,2,3,5,15,1534
9606.ENSP00000495530,2,3,5,15,1534
9606.ENSP00000437402,2,2,5,15,1534
9606.ENSP00000496166,2,3,5,15,1534
9606.ENSP00000493382,2,3,4,25,839
9606.ENSP00000380070,2,3,3,3,1400
9606.ENSP00000377192,2,3,5,15,1534
9606.ENSP00000473348,2,3,5,15,1534
9606.ENSP00000485952,2,3,5,15,1534
9606.ENSP00000370517,2,3,5,15,1534
9606.ENSP00000496597,2,3,5,15,1534
9606.ENSP00000313603,5,3,6,7,815
9606.ENSP00000356520,5,3,6,7,812
9606.ENSP00000365131,3,1,1,1,1509
9606.ENSP00000477713,0,1,1,1,1509
9606.ENSP00000365201,5,3,6,7,1587
9606.ENSP00000384018,1,0,2,4,1015
9606.ENSP00000387246,7,0,3,3,1277
9606.ENSP00000428924,0,1,0,2,1020
9606.ENSP00000410402,7,0,3,3,1277
9606.ENSP00000364815,5,3,6,18,815
9606.ENSP00000441000,5,3,6,18,815
9606.ENSP00000307197,7,3,5,22,1534
9606.ENSP00000364801,7,3,3,3,1415
9606.ENSP00000339787,2,3,5,32,854
9606.ENSP00000346103,2,3,5,10,854
9606.ENSP00000478931,2,3,5,32,854
9606.ENSP00000497274,2,3,5,11,453
9606.ENSP00000498246,2,3,5,11,453
