node,louvain,greedy,leiden,infomap,dcsbm
9606.ENSP00000439170,0,10,12,40,49
9606.ENSP00000495202,0,10,12,40,49
9606.ENSP00000406229,1,1,1,2,39
9606.ENSP00000495360,1,1,1,2,248
9606.ENSP00000403323,2,2,0,7,1331
9606.ENSP00000497733,2,2,0,7,1331
9606.ENSP00000443459,3,2,2,13,49
9606.ENSP00000497574,3,2,2,11,8
9606.ENSP00000445175,3,2,2,13,49
9606.ENSP00000384881,2,0,0,8,39
9606.ENSP00000426809,2,0,0,8,702
9606.ENSP00000370047,4,1,7,9,266
9606.ENSP00000376276,4,1,7,9,266
9606.ENSP00000367972,1,1,1,2,123
9606.ENSP00000381382,1,1,1,2,123
9606.ENSP00000369390,5,1,4,6,1462
9606.ENSP00000384849,5,1,4,6,1462
9606.ENSP00000401112,1,1,1,2,123
9606.ENSP00000484803,1,1,1,2,123
9606.ENSP00000360020,2,0,0,3,1331
9606.ENSP00000501150,2,0,0,3,1146
9606.ENSP00000358765,6,0,3,1,813
9606.ENSP00000378786,6,0,3,1,813
9606.ENSP00000356696,1,1,1,2,49
9606.ENSP00000437955,1,1,1,2,1297
9606.ENSP00000354376,2,2,0,35,39
9606.ENSP00000405738,2,2,0,35,39
9606.ENSP00000350402,6,0,3,1,1687
9606.ENSP00000497102,6,0,3,1,1687
9606.ENSP00000391249,1,2,1,2,123
9606.ENSP00000345243,6,0,0,8,1469
9606.ENSP00000481841,6,0,0,8,702
9606.ENSP00000345347,6,0,3,1,840
9606.ENSP00000355361,6,0,0,8,1469
9606.ENSP00000457991,2,2,2,7,1528
9606.ENSP00000500582,2,2,2,7,1528
9606.ENSP00000340939,2,2,0,20,39
9606.ENSP00000346879,7,2,6,12,146
9606.ENSP00000347379,2,2,0,20,39
9606.ENSP00000348416,2,2,0,20,39
9606.ENSP00000409544,2,2,0,20,39
9606.ENSP00000380131,2,2,0,20,39
9606.ENSP00000378577,2,2,0,20,39
9606.ENSP00000375682,8,8,11,33,258
9606.ENSP00000470538,8,8,11,33,258
9606.ENSP00000433138,3,0,3,5,528
9606.ENSP00000358794,3,2,2,13,49
9606.ENSP00000367608,1,1,1,13,49
9606.ENSP00000416293,3,2,2,13,49
9606.ENSP00000333363,9,11,13,38,49
9606.ENSP00000458355,9,11,13,38,49
9606.ENSP00000338796,10,5,9,22,258
9606.ENSP00000349085,10,5,9,22,258
9606.ENSP00000371638,1,1,1,2,189
9606.ENSP00000353379,10,5,9,22,258
9606.ENSP00000473093,10,5,9,22,258
9606.ENSP00000327459,5,1,4,24,49
9606.ENSP00000384359,5,1,4,24,49
9606.ENSP00000364212,5,1,4,24,49
9606.ENSP00000326159,7,0,5,16,135
9606.ENSP00000358525,2,0,0,3,934
9606.ENSP00000355627,7,0,5,16,135
9606.ENSP00000437550,1,1,1,2,123
9606.ENSP00000478927,1,1,1,2,123
9606.ENSP00000499786,1,1,1,2,1200
9606.ENSP00000413861,7,9,6,34,146
9606.ENSP00000484824,7,2,6,12,146
9606.ENSP00000470555,7,9,6,34,146
9606.ENSP00000480132,6,0,3,1,1553
9606.ENSP00000489597,2,0,0,3,1146
9606.ENSP00000375678,7,9,6,34,146
9606.ENSP00000323328,7,9,6,34,146
9606.ENSP00000365817,6,0,3,1,813
9606.ENSP00000370593,7,2,6,12,146
9606.ENSP00000374135,7,2,6,12,146
9606.ENSP00000321835,4,1,7,23,258
9606.ENSP00000361066,1,1,1,2,191
9606.ENSP00000400142,4,1,7,9,266
9606.ENSP00000381588,3,0,0,23,258
9606.ENSP00000368667,6,0,3,22,258
9606.ENSP00000386559,6,0,3,1,1623
9606.ENSP00000370989,6,0,3,1,1687
9606.ENSP00000319730,2,0,0,23,258
9606.ENSP00000483552,2,0,0,23,258
9606.ENSP00000358470,6,0,3,1,1687
9606.ENSP00000380855,6,0,3,1,1687
9606.ENSP00000485129,6,0,3,1,1687
9606.ENSP00000315743,5,1,4,6,1462
9606.ENSP00000344635,5,1,4,6,1462
9606.ENSP00000383611,5,1,4,6,1462
9606.ENSP00000339527,1,1,2,2,1171
9606.ENSP00000371253,5,1,4,24,49
9606.ENSP00000396308,5,1,4,24,49
9606.ENSP00000466259,3,1,2,13,49
9606.ENSP00000314500,7,2,6,12,146
9606.ENSP00000485028,7,2,6,12,146
9606.ENSP00000485659,7,2,6,12,146
9606.ENSP00000494061,7,2,6,12,146
9606.ENSP00000312021,4,6,10,31,258
9606.ENSP00000351602,6,0,3,1,702
9606.ENSP00000428540,4,6,10,31,49
9606.ENSP00000353910,4,6,10,31,258
9606.ENSP00000311746,8,8,11,33,258
9606.ENSP00000473047,8,8,11,33,258
9606.ENSP00000384863,5,1,1,9,266
9606.ENSP00000324729,1,1,1,2,123
9606.ENSP00000372035,1,1,1,2,123
9606.ENSP00000349547,1,1,1,2,123
9606.ENSP00000344666,2,1,0,2,123
9606.ENSP00000361027,1,1,1,2,123
9606.ENSP00000435233,1,1,1,2,123
9606.ENSP00000317379,3,2,2,25,8
9606.ENSP00000444408,3,2,2,25,8
9606.ENSP00000309595,5,1,4,24,49
9606.ENSP00000420588,3,1,2,5,1280
9606.ENSP00000351185,5,1,4,4,278
9606.ENSP00000379038,5,1,4,24,49
9606.ENSP00000308117,2,0,0,8,1644
9606.ENSP00000346839,2,0,0,8,824
9606.ENSP00000307411,1,1,1,2,123
9606.ENSP00000381657,1,1,1,2,189
9606.ENSP00000436786,1,1,1,2,189
9606.ENSP00000343619,13,1,8,26,123
9606.ENSP00000306991,5,1,4,6,258
9606.ENSP00000398632,6,0,0,8,824
9606.ENSP00000377492,5,1,4,6,1074
9606.ENSP00000305976,1,2,2,7,288
9606.ENSP00000309591,1,2,2,7,797
9606.ENSP00000359719,1,2,2,7,797
9606.ENSP00000366488,1,2,2,7,797
9606.ENSP00000387699,1,1,1,2,191
9606.ENSP00000305302,3,2,2,25,8
9606.ENSP00000370254,7,2,5,18,135
9606.ENSP00000378488,7,2,5,18,135
